,YEAR,QUARTER,ORIGIN,DEST,DIST,RHHI,NLCC,NROUTE,DELAY,SIZE,POP,INCOME,UNEMP,LABEL
0,2017,2,MCO,BDL,1050,5283.227617,2,12,15.26404685,1,41486914,117498.7222,10.59457988,1
1,2017,2,FLL,BDL,1173,5258.985761,2,23,17.07050388,1,39354117,120406.576,10.51529715,1
2,2017,2,MSY,BWI,998,10000,1,20,19.40864448,1,24573986,113267.6519,11.75008384,1
3,2017,2,MSY,CLE,919,20000,0,17,16.07145419,2,18836891,97826.19057,11.97515642,1
4,2017,2,MSY,MCO,551,8213.131772,2,20,19.4040002,1,13598164,92919.02464,12.2243573,1
5,2017,2,CAK,LAS,1844,20000,0,19,18.61292547,2,15199712,100175.2496,12.19298338,1
6,2017,1,EWR,MYR,550,10000,0,10,22.36440248,2,37861868,113995.1099,12.08443564,1
7,2016,4,CAK,FLL,1029,20000,0,24,13.44349429,2,20266567,100328.4229,11.15000952,1
8,2016,4,CAK,MCO,861,10000,1,11,12.85611983,2,22399364,97420.56905,11.22929226,1
9,2016,4,MCO,BOS,1121,7603.715621,1,21,15.11234375,0,21642245,114941.2573,10.37862454,1
10,2016,4,MCO,PHL,861,3994.608223,2,16,16.06555337,0,46742044,118176.465,10.89133391,1
11,2016,4,MCO,MCI,1072,10000,1,16,14.50521828,1,13133577,97334.2815,10.2388213,1
12,2016,4,MCO,IAG,1023,20000,0,13,6.07979795,3,12909068,95862.66275,11.31074279,1
13,2016,4,MCO,PBG,1203,20000,0,12,19.09931469,3,11251253,100201.9797,10.38149052,1
14,2016,4,BWI,RSW,919,10000,1,18,15.05211299,1,31448614,117407.6072,10.64003698,1
15,2016,4,BWI,TPA,842,10000,1,19,15.52038516,0,29591948,115063.9721,10.78008775,1
16,2016,2,BWI,BOS,369,5870.969256,2,17,22.22665428,0,32618067,135289.8846,9.90435107,1
17,2016,2,BWI,DTW,409,5279.748678,1,24,23.05148667,0,32703942,119511.5373,10.32197338,1
18,2016,2,PHL,DTW,453,3566.07694,0,21,20.43563734,0,49274698,122738.6186,10.43555124,1
19,2016,2,PHL,FLL,992,9305.264706,1,28,20.91810641,0,44609247,121084.3188,10.81205118,1
20,2016,2,ATL,MSP,907,6658.403783,2,22,17.46357773,0,15174979,106760.8911,10.13367486,1
21,2016,2,ATL,MSY,425,6458.260214,2,15,23.53683959,1,14133723,92352.35904,12.73494048,1
22,2016,2,LAX,PDX,834,5428.632958,1,12,15.63768585,0,26075635,116506.3417,12.63869122,1
23,2016,2,LAX,PHX,370,2961.377417,2,13,20.13263962,0,27132223,113503.9474,12.28242017,1
24,2016,2,LAX,MSY,1670,4289.877134,1,14,23.6537144,1,25653302,108055.273,12.8735929,1
25,2016,2,LAX,PHL,2402,10000,0,13,21.94040505,0,58797182,133312.7134,11.54056951,1
26,2016,1,SEA,LAX,954,4653.308464,2,7,16.24563664,0,26821113,124466.3279,12.44382179,1
27,2016,1,SEA,LAS,867,4738.713307,2,15,17.02790069,0,7566323,112084.7601,12.75827731,1
28,2015,4,LBE,ORD,459,20000,0,23,18.35084538,3,23487030,105754.2038,12.85283347,1
29,2015,4,LBE,LAS,1954,20000,0,17,15.43921988,3,10457737,97119.06228,13.90632372,1
30,2015,4,LAS,MSY,1500,10000,1,19,18.59088112,1,6398512,92973.40214,14.47301349,1
31,2015,4,LAS,OAK,407,6469.207542,1,17,22.42002233,1,14429252,117332.4114,14.86187583,1
32,2015,3,LAX,MCI,1363,6142.166746,1,12,18.96995017,1,25188715,108396.6725,12.95631205,1
33,2015,3,LAX,BWI,2329,5463.80302,1,13,23.48711377,0,42226426,126086.538,13.50478058,1
34,2015,3,ATL,CLE,554,7871.602146,1,4,18.32495417,1,24969752,95319.28476,13.5323043,1
35,2015,3,ATL,LAS,1747,5481.666895,2,18,20.81219696,0,12531373,93376.59718,14.81965585,1
36,2015,3,ATL,MCO,404,6360.455415,2,12,22.81825595,0,19731025,90342.89843,13.83203104,1
37,2015,2,ATL,BWI,577,5264.664985,2,9,25.11123878,0,30706847,110933.3502,13.15981576,1
38,2015,2,ATL,PHL,666,4520.908841,2,6,20.03632016,0,47277603,114113.0362,13.37789428,1
39,2015,2,ATL,TPA,406,6046.981229,2,9,21.11992544,0,19151685,90487.22716,13.81499513,1
40,2015,2,ATL,LAX,1947,6968.187547,2,10,19.80866233,0,31786163,104844.1027,14.77692359,1
41,2015,2,ATL,BOS,946,6269.286809,2,9,17.39133001,0,22177804,109991.1799,12.83892884,1
42,2015,2,ATL,RSW,515,6246.668881,2,9,18.00476909,1,21008351,92656.08375,13.62583564,1
43,2015,2,ORD,ACY,720,6616.119972,0,28,26.02349881,2,44586600,125481.4124,12.8692817,1
44,2015,2,BOS,LAS,2381,7744.049063,1,19,19.76075579,0,14442593,113676.8622,13.22662593,1
45,2015,2,LAX,DEN,862,3057.059362,2,15,24.08385086,0,26145356,120351.9061,12.27371595,1
46,2015,2,IAH,TPA,787,10000,0,13,25.31563834,0,16726415,97669.71435,12.03122919,1
47,2015,2,IAH,BWI,1235,10000,0,13,29.30695168,0,28281577,118115.8374,11.37604981,1
48,2015,2,LAS,LBE,1954,20000,0,16,27.48066457,3,10457737,97119.06228,13.90632372,1
49,2015,2,DEN,SAN,853,3519.585776,3,11,23.94832302,0,24300267,120837.4903,12.40582505,1
50,2015,1,ORD,PHL,678,2882.340952,0,15,35.16882096,0,52571685,126433.8599,12.71210111,1
52,2015,1,CLE,MCO,895,10000,0,8,31.85795436,1,24434193,95971.26825,12.93237658,1
53,2015,1,CLE,TPA,927,5123.141883,0,6,30.20804702,1,23854853,96115.59698,12.91534067,1
54,2015,1,CLE,RSW,1025,8991.904005,0,6,29.28172927,2,25711519,98284.45357,12.72618118,1
55,2015,1,CLE,DFW,1021,6343.902572,0,18,25.93873685,1,23071137,100501.0646,11.46116313,1
56,2015,1,CLE,FLL,1062,10000,0,21,32.81543229,1,22301396,98600.37958,12.79148832,1
57,2015,1,CLE,LAS,1824,10000,0,13,29.25576723,1,17234541,99004.967,13.92000139,1
58,2015,1,CLE,LAX,2052,10000,0,6,26.3308558,1,36489331,110472.4725,13.87726913,1
59,2014,4,ATL,ORD,606,3749.172463,1,17,21.84769928,0,25560666,99747.30331,16.7099342,1
60,2014,4,ATL,DTW,594,7353.484904,1,14,13.96450119,0,22263679,93211.3818,16.5880126,1
61,2014,4,ORD,MSY,837,2568.780412,1,15,22.17652484,1,19427805,99285.99356,15.74974382,1
62,2014,4,DTW,MSY,926,10000,0,12,14.29332675,1,16130818,92750.07205,15.62782222,1
63,2014,4,BOS,PBI,1197,10000,1,5,15.94031081,1,20563047,109138.5204,14.33229138,1
64,2014,3,MCI,ORD,403,1876.077116,1,12,20.55564722,1,18963218,102517.8894,14.43785106,1
65,2014,3,MCI,DFW,460,10000,0,22,20.08004766,1,11770521,95786.35545,12.3126533,1
66,2014,3,MCI,DTW,629,5713.289414,0,11,15.75161335,1,15666231,95981.96792,14.31592947,1
67,2014,3,MCI,IAH,643,8943.174955,1,7,17.10548497,1,11243866,97781.67058,12.73850578,1
68,2014,3,MCI,LAS,1139,10000,1,13,20.62946259,1,5933925,95642.31543,15.22868248,1
69,2014,2,MSP,DTW,528,10000,0,18,17.9366217,0,17172074,106093.2151,13.5787402,1
70,2014,2,ORD,BWI,622,3211.526103,0,19,37.37406209,0,36000929,120104.1571,15.39102239,1
71,2014,2,ORD,PDX,1739,6294.970508,0,18,27.38282527,0,19850138,105965.5946,16.95504145,1
72,2013,4,PHX,ORD,1440,3724.153821,0,14,17.12856923,0,20906726,102348.5803,16.69332244,1
73,2013,4,PHX,DFW,868,5314.039968,0,17,14.54271389,0,13714029,95449.80429,14.89644155,1
74,2013,4,PHX,DEN,602,2681.45164,3,5,15.81780588,0,9971837,104210.6219,15.5602902,1
75,2013,2,IAH,DEN,862,9531.003103,1,4,20.593146,0,12200507,105926.4197,14.52117095,1
76,2013,2,IAH,DTW,1075,2896.013529,1,10,17.60557858,0,19838409,97023.30564,15.60113931,1
77,2013,2,IAH,LAX,1379,8478.992425,0,4,18.88236757,0,29360893,105899.2102,17.5402475,1
78,2013,2,LAS,BWI,2106,10000,1,11,18.1038641,0,22971636,109890.4131,18.16112981,1
79,2013,2,LAS,PHL,2176,7426.610426,1,11,14.5172586,0,39542392,112542.3614,18.79711765,1
80,2013,2,MYR,BWI,399,20000,0,9,14.66338115,2,25231276,105297.4367,18.01872102,1
81,2013,2,MYR,PHL,473,20000,0,9,11.07677565,2,41802032,107949.385,18.65470886,1
82,2013,2,DFW,MSP,852,3673.618434,1,13,13.42478936,0,13276364,103509.9344,12.52147493,1
83,2013,2,DFW,PHL,1303,5313.938546,0,11,15.69493144,0,45378988,114187.0807,14.8367057,1
84,2013,2,DTW,DEN,1123,2937.316584,3,14,15.15386867,0,16622872,104449.2392,15.72507705,1
85,2013,2,IAH,MCO,854,10000,0,7,19.00275072,0,17305755,92581.9036,16.23274944,1
86,2013,2,DEN,AZA,595,20000,0,6,16.55104081,3,10020516,104030.9331,15.59229605,1
87,2013,2,PDX,SAN,933,10000,0,2,8.470277509,0,24230546,106650.3435,20.01897354,1
88,2013,2,IAH,ORD,925,7529.739953,1,13,21.17132313,0,23135396,104064.3781,15.65420319,1
89,2013,1,IAH,LAS,1222,10000,0,9,18.97332842,0,10106103,95520.88279,17.81773425,1
90,2013,1,DFW,MSY,448,10000,0,6,11.39984944,1,12235108,90292.41702,14.54323609,1
92,2012,4,DFW,PHL,1303,5200.795742,0,3,13.42432009,0,45378988,111846.4466,15.88159637,1
93,2012,4,DFW,LBE,1102,20000,0,4,10.33388837,3,16294333,92460.76975,15.95978714,1
94,2012,4,FLL,BWI,925,5192.087741,2,19,10.81615153,0,28038491,107331.5272,17.91275323,1
95,2012,4,DFW,BWI,1217,10000,0,3,11.36652001,0,28808232,109434.3301,15.46719093,1
96,2012,3,DFW,IAH,224,4044.137864,1,3,16.7817676,0,15942699,95117.5689,15.97264018,1
97,2012,3,DFW,LAX,1235,7309.314947,2,7,15.38339313,0,29887548,103312.0079,19.27857583,1
98,2012,3,DFW,OAK,1457,20000,0,4,14.69369954,1,20265848,108676.8571,19.37395623,1
99,2012,2,DFW,PDX,1616,10000,0,2,17.58364191,0,12657441,95112.40153,17.97144698,1
100,2012,2,DFW,DTW,987,3962.68011,0,12,24.39746971,0,20365064,93637.70055,17.4013356,1
101,2012,2,DFW,SAN,1171,10000,0,2,21.26600848,0,28042459,103595.9933,19.43254492,1
102,2012,2,ORD,MSP,334,1844.231914,1,6,24.69523181,0,20469061,107454.684,16.01077897,1
103,2012,2,LAS,MSP,1300,7621.309477,1,5,18.11490258,0,7439768,99672.26903,19.14798868,1
104,2012,2,DEN,ORD,888,6410.38217,0,6,28.14136258,0,19919859,108776.3601,17.08404987,1
105,2012,2,DEN,DFW,641,3674.034932,2,2,24.69998578,0,12727162,102124.6116,15.42283781,1
106,2012,2,DEN,FLL,1703,3541.394469,2,20,22.53044429,0,11957421,100021.8087,17.86840012,1
107,2012,2,DEN,LAS,629,3126.54846,2,5,21.56103336,0,6890566,100993.9452,20.22125959,1
108,2012,2,DFW,TPA,929,10000,0,5,21.73738245,0,17253070,89590.43899,18.35116716,1
109,2012,2,DFW,MYR,1048,20000,0,14,28.50257857,2,12892398,87701.62784,19.26659126,1
110,2012,2,ATL,ACY,678,10000,1,11,19.04179062,2,39292518,106619.3448,19.1016718,1
111,2012,2,LBE,MCO,824,20000,0,6,19.71993154,3,17657389,87964.89813,19.00052224,1
112,2012,1,DFW,AZA,848,20000,0,0,16.58269268,3,13762708,93008.60225,17.07384054,1
113,2012,1,LAS,AZA,276,20000,0,3,17.70651831,3,7926112,91877.93578,21.87226231,1
114,2012,1,DFW,ATL,732,3605.859859,1,1,18.13915821,0,18367969,89689.09408,18.19336112,1
115,2012,1,DFW,BOS,1562,10000,0,3,18.12863987,0,20279189,107971.9416,14.99893738,1
116,2012,1,DFW,LGA,1389,10000,0,3,16.15804078,0,41033147,111083.8606,16.09227157,1
117,2012,1,DFW,MCO,984,8774.95322,1,4,19.44650664,0,17832410,89472.27014,18.27771508,1
118,2011,3,LAS,SAN,258,10000,1,2,12.88943009,0,22205863,104840.3916,25.39504538,1
119,2011,3,LAS,OAK,407,10000,1,2,14.46493588,1,14429252,109946.4179,25.47002317,1
120,2011,3,ORD,BOS,867,3865.989455,1,6,16.70102995,0,27471886,112867.2469,18.40237064,1
121,2011,3,ORD,DFW,802,6819.680245,1,3,18.45207269,0,23662051,98718.75493,18.45749183,1
122,2011,3,ORD,DTW,235,1849.473996,1,12,18.82233061,0,27557761,98968.08854,22.17505981,1
123,2011,3,ORD,LGA,733,4094.795667,0,6,16.87007355,0,48225844,116270.9292,19.14774461,1
124,2011,3,ORD,MCO,1005,5123.138648,0,7,16.5518205,0,25025107,95642.89276,22.07076488,1
125,2011,3,LAS,PDX,762,5003.826149,1,2,11.51070698,0,6820845,95635.96656,24.32834441,1
126,2011,2,LAS,LAX,236,2351.099746,2,4,16.05781103,0,24050952,104404.744,25.26647838,1
127,2011,2,ORD,LAX,1745,5010.714371,0,5,20.99398238,0,37080245,109267.9739,22.50694968,1
128,2011,2,FLL,PBG,1334,10000,1,15,14.96888909,3,9118456,91730.71887,18.76313761,1
129,2011,2,FLL,IAG,1176,20000,0,15,14.96888909,3,10776271,89132.56542,20.29025351,1
130,2011,2,FLL,LBE,980,20000,0,15,14.96888909,3,15524592,89093.64278,20.64620042,1
131,2011,2,FLL,CRW,852,20000,0,15,21.56540261,3,11673911,80967.27714,21.85888281,1
132,2011,2,FLL,DFW,1119,10000,0,15,19.44841337,0,15699613,90775.03572,19.39716759,1
133,2011,2,DFW,LAS,1055,7315.849299,0,2,19.78201105,0,10632758,93855.5251,21.21702053,1
134,2011,2,MYR,CRW,356,20000,0,7,17.85560411,5,8866696,76591.90068,22.47272495,1
135,2011,1,MYR,LBE,456,20000,0,6,12.86310534,5,12717377,84718.26632,21.26004256,1
136,2011,1,MYR,IAG,650,10000,0,6,12.86310534,5,7969056,84757.18896,20.90409565,1
137,2011,1,MYR,PBG,811,20000,0,6,12.86310534,5,6311241,87355.34241,19.37697975,1
138,2011,1,MYR,DCA,372,20000,0,7,10.54266465,2,23720723,101177.2336,20.02753992,1
139,2011,1,ORD,ACY,720,20000,0,10,13.01695601,2,44586600,116273.0073,19.24947753,1